posts,annotations
ubo na may dugo ubo mataas na lagnat sipon,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya mataas na lagnat sipon,"TB, COVID, PN, AURI"
ubo na may dugo ubo hirap sa paghinga ubo,"TB, COVID, PN, AURI"
ubo na may dugo ubo mataas na lagnat sipon,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga mataas na lagnat sipon,"TB, COVID, PN, AURI"
pagtatae ubo mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
sakit sa dibdib hirap sa paghinga mataas na lagnat sipon,"TB, COVID, PN, AURI"
pagtatae ubo sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
sakit sa dibdib ubo mataas na lagnat ubo,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae ubo mataas na lagnat sipon,"TB, COVID, PN, AURI"
pagtatae ubo hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
sakit sa dibdib ubo sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae pulmonya mataas na lagnat ubo,"TB, COVID, PN, AURI"
sakit sa dibdib ubo sakit sa dibdib ubo,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga sakit sa dibdib ubo,"TB, COVID, PN, AURI"
pagtatae ubo mataas na lagnat ubo,"TB, COVID, PN, AURI"
pagtatae ubo hirap sa paghinga sipon,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya sakit sa dibdib ubo,"TB, COVID, PN, AURI"
ubo na may dugo ubo hirap sa paghinga ubo,"TB, COVID, PN, AURI"
sakit sa dibdib ubo mataas na lagnat sipon,"TB, COVID, PN, AURI"
sakit sa dibdib hirap sa paghinga mataas na lagnat ubo,"TB, COVID, PN, AURI"
sakit sa dibdib hirap sa paghinga mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga mataas na lagnat sipon,"TB, COVID, PN, AURI"
ubo na may dugo ubo sakit sa dibdib sipon,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya hirap sa paghinga sipon,"TB, COVID, PN, AURI"
pagtatae pulmonya hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae ubo mataas na lagnat sipon,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya hirap sa paghinga ubo,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya hirap sa paghinga ubo,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya sakit sa dibdib ubo,"TB, COVID, PN, AURI"
pagtatae pulmonya mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae pulmonya sakit sa dibdib ubo,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae pulmonya hirap sa paghinga ubo,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga sakit sa dibdib ubo,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga mataas na lagnat sipon,"TB, COVID, PN, AURI"
sakit sa dibdib ubo hirap sa paghinga ubo,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya hirap sa paghinga sipon,"TB, COVID, PN, AURI"
pagtatae pulmonya mataas na lagnat sipon,"TB, COVID, PN, AURI"
sakit sa dibdib ubo hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae ubo sakit sa dibdib sipon,"TB, COVID, PN, AURI"
pagtatae ubo mataas na lagnat sipon,"TB, COVID, PN, AURI"
sakit sa dibdib ubo sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga mataas na lagnat sipon,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya mataas na lagnat sipon,"TB, COVID, PN, AURI"
sakit sa dibdib hirap sa paghinga hirap sa paghinga ubo,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya mataas na lagnat sipon,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya mataas na lagnat ubo,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya sakit sa dibdib sipon,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae pulmonya hirap sa paghinga ubo,"TB, COVID, PN, AURI"
ubo na may dugo pulmonya mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
ubo na may dugo hirap sa paghinga sakit sa dibdib sipon,"TB, COVID, PN, AURI"
sakit sa dibdib ubo hirap sa paghinga ubo,"TB, COVID, PN, AURI"
sakit sa dibdib hirap sa paghinga mataas na lagnat sipon,"TB, COVID, PN, AURI"
pagtatae pulmonya mataas na lagnat sipon,"TB, COVID, PN, AURI"
pagtatae ubo hirap sa paghinga ubo,"TB, COVID, PN, AURI"
pagtatae ubo sakit sa dibdib sipon,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga hirap sa paghinga ubo,"TB, COVID, PN, AURI"
pagtatae pulmonya mataas na lagnat ubo,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga mataas na lagnat sipon,"TB, COVID, PN, AURI"
sakit sa dibdib ubo sakit sa dibdib ubo,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya hirap sa paghinga ubo,"TB, COVID, PN, AURI"
ubo na may dugo ubo mataas na lagnat ubo,"TB, COVID, PN, AURI"
sakit sa dibdib hirap sa paghinga hirap sa paghinga ubo,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
sakit sa dibdib hirap sa paghinga sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga sakit sa dibdib sipon,"TB, COVID, PN, AURI"
sakit sa dibdib pulmonya sakit sa dibdib masakit ang lalamunan,"TB, COVID, PN, AURI"
sakit sa dibdib hirap sa paghinga hirap sa paghinga masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae pulmonya mataas na lagnat masakit ang lalamunan,"TB, COVID, PN, AURI"
pagtatae hirap sa paghinga hirap sa paghinga sipon,"TB, COVID, PN, AURI"
pagtatae pulmonya sakit sa dibdib sipon,"TB, COVID, PN, AURI"
pagtatae mataas na lagnat,"TB, PN"
pagtatae mataas na lagnat,"TB, PN"
sakit sa dibdib mataas na lagnat,"TB, PN"
ubo na may dugo hirap sa paghinga,"TB, PN"
ubo na may dugo sakit sa dibdib,"TB, PN"
sakit sa dibdib hirap sa paghinga,"TB, PN"
sakit sa dibdib sakit sa dibdib,"TB, PN"
pagtatae hirap sa paghinga,"TB, PN"
sakit sa dibdib mataas na lagnat,"TB, PN"
sakit sa dibdib mataas na lagnat,"TB, PN"
pagtatae hirap sa paghinga,"TB, PN"
ubo na may dugo sakit sa dibdib,"TB, PN"
pagtatae hirap sa paghinga,"TB, PN"
ubo na may dugo sakit sa dibdib,"TB, PN"
sakit sa dibdib sakit sa dibdib,"TB, PN"
sakit sa dibdib mataas na lagnat,"TB, PN"
sakit sa dibdib sakit sa dibdib,"TB, PN"
sakit sa dibdib hirap sa paghinga,"TB, PN"
ubo na may dugo hirap sa paghinga,"TB, PN"
pagtatae sakit sa dibdib,"TB, PN"
sakit sa dibdib hirap sa paghinga,"TB, PN"
sakit sa dibdib sakit sa dibdib,"TB, PN"
pagtatae mataas na lagnat,"TB, PN"
ubo na may dugo mataas na lagnat,"TB, PN"
pagtatae hirap sa paghinga,"TB, PN"
ubo na may dugo sakit sa dibdib,"TB, PN"
sakit sa dibdib mataas na lagnat,"TB, PN"
ubo na may dugo hirap sa paghinga,"TB, PN"
pagtatae sakit sa dibdib,"TB, PN"
sakit sa dibdib hirap sa paghinga,"TB, PN"
sakit sa dibdib sakit sa dibdib,"TB, PN"
pagtatae mataas na lagnat,"TB, PN"
ubo na may dugo mataas na lagnat,"TB, PN"
pagtatae hirap sa paghinga,"TB, PN"
ubo na may dugo sakit sa dibdib,"TB, PN"
sakit sa dibdib mataas na lagnat,"TB, PN"
ubo na may dugo hirap sa paghinga,"TB, PN"
pagtatae sakit sa dibdib,"TB, PN"
sakit sa dibdib hirap sa paghinga,"TB, PN"
sakit sa dibdib sakit sa dibdib,"TB, PN"
pagtatae mataas na lagnat,"TB, PN"
ubo na may dugo mataas na lagnat,"TB, PN"
pagtatae hirap sa paghinga,"TB, PN"
ubo na may dugo sakit sa dibdib,"TB, PN"
sakit sa dibdib mataas na lagnat,"TB, PN"
ubo na may dugo hirap sa paghinga,"TB, PN"
pagtatae sakit sa dibdib,"TB, PN"
sakit sa dibdib hirap sa paghinga,"TB, PN"
sakit sa dibdib sakit sa dibdib,"TB, PN"
pagtatae mataas na lagnat,"TB, PN"
ubo na may dugo mataas na lagnat,"TB, PN"
pagtatae hirap sa paghinga,"TB, PN"
ubo na may dugo sakit sa dibdib,"TB, PN"
pagtatae hirap sa paghinga ubo,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
pagtatae mataas na lagnat sipon,"TB, PN, AURI"
pagtatae hirap sa paghinga sipon,"TB, PN, AURI"
pagtatae mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
pagtatae mataas na lagnat ubo,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib sipon,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga ubo,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib sipon,"TB, PN, AURI"
pagtatae sakit sa dibdib ubo,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga sipon,"TB, PN, AURI"
pagtatae mataas na lagnat sipon,"TB, PN, AURI"
ubo na may dugo hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo hirap sa paghinga ubo,"TB, PN, AURI"
pagtatae hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
pagtatae sakit sa dibdib masakit ang lalamunan,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib ubo,"TB, PN, AURI"
pagtatae hirap sa paghinga ubo,"TB, PN, AURI"
pagtatae mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
pagtatae mataas na lagnat ubo,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib sipon,"TB, PN, AURI"
sakit sa dibdib mataas na lagnat ubo,"TB, PN, AURI"
sakit sa dibdib mataas na lagnat sipon,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib ubo,"TB, PN, AURI"
ubo na may dugo mataas na lagnat ubo,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga ubo,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib sipon,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga sipon,"TB, PN, AURI"
sakit sa dibdib mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo hirap sa paghinga ubo,"TB, PN, AURI"
ubo na may dugo mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
pagtatae sakit sa dibdib sipon,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib ubo,"TB, PN, AURI"
pagtatae hirap sa paghinga ubo,"TB, PN, AURI"
pagtatae mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
pagtatae mataas na lagnat ubo,"TB, PN, AURI"
sakit sa dibdib mataas na lagnat ubo,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib ubo,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga ubo,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib sipon,"TB, PN, AURI"
pagtatae mataas na lagnat sipon,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
pagtatae hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
pagtatae sakit sa dibdib sipon,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib ubo,"TB, PN, AURI"
pagtatae hirap sa paghinga ubo,"TB, PN, AURI"
pagtatae mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
pagtatae mataas na lagnat ubo,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib sipon,"TB, PN, AURI"
sakit sa dibdib mataas na lagnat ubo,"TB, PN, AURI"
sakit sa dibdib mataas na lagnat sipon,"TB, PN, AURI"
ubo na may dugo sakit sa dibdib ubo,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga ubo,"TB, PN, AURI"
pagtatae sakit sa dibdib ubo,"TB, PN, AURI"
sakit sa dibdib hirap sa paghinga sipon,"TB, PN, AURI"
sakit sa dibdib mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
pagtatae hirap sa paghinga sipon,"TB, PN, AURI"
sakit sa dibdib sakit sa dibdib masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo hirap sa paghinga ubo,"TB, PN, AURI"
ubo na may dugo mataas na lagnat masakit ang lalamunan,"TB, PN, AURI"
pagtatae hirap sa paghinga masakit ang lalamunan,"TB, PN, AURI"
pagtatae sakit sa dibdib masakit ang lalamunan,"TB, PN, AURI"
ubo na may dugo hirap sa paghinga sipon,"TB, PN, AURI"
pagtatae sakit sa dibdib sipon hirap sa paghinga,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat ubo pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat ubo ubo,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
pagtatae mataas na lagnat masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib ubo hirap sa paghinga,"TB, PN, AURI, COVID"
pagtatae sakit sa dibdib sipon hirap sa paghinga,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga ubo hirap sa paghinga,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga ubo ubo,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat sipon ubo,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga ubo pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo sakit sa dibdib masakit ang lalamunan ubo,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat sipon ubo,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat ubo ubo,"TB, PN, AURI, COVID"
ubo na may dugo sakit sa dibdib sipon pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat sipon pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat ubo ubo,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga sipon pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga sipon ubo,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat ubo pulmonya,"TB, PN, AURI, COVID"
pagtatae sakit sa dibdib masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga masakit ang lalamunan ubo,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga ubo pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat ubo hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga ubo ubo,"TB, PN, AURI, COVID"
ubo na may dugo sakit sa dibdib ubo pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga sipon pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga ubo ubo,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga sipon pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat ubo pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo sakit sa dibdib ubo ubo,"TB, PN, AURI, COVID"
pagtatae mataas na lagnat masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
ubo na may dugo sakit sa dibdib masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
pagtatae sakit sa dibdib sipon hirap sa paghinga,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga sipon hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat sipon ubo,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat sipon pulmonya,"TB, PN, AURI, COVID"
pagtatae sakit sa dibdib masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib sipon ubo,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib ubo ubo,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga ubo ubo,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga sipon pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo sakit sa dibdib sipon ubo,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib sipon pulmonya,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga ubo pulmonya,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga sipon ubo,"TB, PN, AURI, COVID"
pagtatae sakit sa dibdib ubo ubo,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga sipon hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat sipon ubo,"TB, PN, AURI, COVID"
pagtatae sakit sa dibdib ubo pulmonya,"TB, PN, AURI, COVID"
pagtatae mataas na lagnat sipon ubo,"TB, PN, AURI, COVID"
pagtatae sakit sa dibdib masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib ubo pulmonya,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga ubo hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga ubo pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga ubo ubo,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga sipon ubo,"TB, PN, AURI, COVID"
pagtatae mataas na lagnat masakit ang lalamunan ubo,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib sipon hirap sa paghinga,"TB, PN, AURI, COVID"
ubo na may dugo sakit sa dibdib masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
pagtatae mataas na lagnat masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga sipon pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat sipon hirap sa paghinga,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib ubo pulmonya,"TB, PN, AURI, COVID"
pagtatae hirap sa paghinga ubo hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib mataas na lagnat ubo hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib masakit ang lalamunan pulmonya,"TB, PN, AURI, COVID"
pagtatae mataas na lagnat sipon hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga ubo hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib hirap sa paghinga masakit ang lalamunan ubo,"TB, PN, AURI, COVID"
ubo na may dugo hirap sa paghinga sipon hirap sa paghinga,"TB, PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib ubo hirap sa paghinga,"TB, PN, AURI, COVID"
pagtatae sakit sa dibdib sipon ubo,"TB, PN, AURI, COVID"
ubo na may dugo mataas na lagnat ubo,"TB, PN, COVID"
ubo na may dugo mataas na lagnat hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib sakit sa dibdib pulmonya,"TB, PN, COVID"
pagtatae mataas na lagnat pulmonya,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga pulmonya,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib ubo,"TB, PN, COVID"
pagtatae mataas na lagnat pulmonya,"TB, PN, COVID"
pagtatae hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib pulmonya,"TB, PN, COVID"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib pagtatae,"COVID, AURI, PN, TB"
ubo na may dugo sakit sa dibdib hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga ubo,"TB, PN, COVID"
pagtatae sakit sa dibdib ubo,"TB, PN, COVID"
ubo na may dugo hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib ubo,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib pulmonya,"TB, PN, COVID"
pagtatae sakit sa dibdib hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib sakit sa dibdib ubo,"TB, PN, COVID"
pagtatae hirap sa paghinga pulmonya,"TB, PN, COVID"
pagtatae mataas na lagnat hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo mataas na lagnat pulmonya,"TB, PN, COVID"
pagtatae hirap sa paghinga ubo,"TB, PN, COVID"
pagtatae hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
ubo pagtatae masakit ang lalamunan,"COVID, TB, AURI"
pagtatae mataas na lagnat ubo,"TB, PN, COVID"
ubo na may dugo mataas na lagnat ubo,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga ubo,"TB, PN, COVID"
pagtatae sakit sa dibdib ubo,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib mataas na lagnat pulmonya,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib ubo,"TB, PN, COVID"
pagtatae sakit sa dibdib pulmonya,"TB, PN, COVID"
pagtatae sakit sa dibdib hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
pagtatae mataas na lagnat pulmonya,"TB, PN, COVID"
sakit sa dibdib sakit sa dibdib ubo,"TB, PN, COVID"
pagtatae hirap sa paghinga pulmonya,"TB, PN, COVID"
sakit sa dibdib mataas na lagnat hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga pulmonya,"TB, PN, COVID"
ubo na may dugo hirap sa paghinga pulmonya,"TB, PN, COVID"
sakit sa dibdib mataas na lagnat ubo,"TB, PN, COVID"
pagtatae hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo mataas na lagnat hirap sa paghinga,"TB, PN, COVID"
pagtatae mataas na lagnat ubo,"TB, PN, COVID"
pagtatae sakit sa dibdib ubo,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib pulmonya,"TB, PN, COVID"
pagtatae sakit sa dibdib pulmonya,"TB, PN, COVID"
pagtatae mataas na lagnat pulmonya,"TB, PN, COVID"
sakit sa dibdib mataas na lagnat hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo mataas na lagnat pulmonya,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga pulmonya,"TB, PN, COVID"
sakit sa dibdib sakit sa dibdib hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo hirap sa paghinga pulmonya,"TB, PN, COVID"
sakit sa dibdib mataas na lagnat ubo,"TB, PN, COVID"
pagtatae hirap sa paghinga ubo,"TB, PN, COVID"
ubo na may dugo mataas na lagnat hirap sa paghinga,"TB, PN, COVID"
pagtatae mataas na lagnat ubo,"TB, PN, COVID"
ubo na may dugo mataas na lagnat ubo,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga ubo,"TB, PN, COVID"
pagtatae sakit sa dibdib ubo,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib mataas na lagnat pulmonya,"TB, PN, COVID"
ubo na may dugo hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
ubo na may dugo sakit sa dibdib ubo,"TB, PN, COVID"
sakit sa dibdib sakit sa dibdib pulmonya,"TB, PN, COVID"
pagtatae sakit sa dibdib pulmonya,"TB, PN, COVID"
pagtatae sakit sa dibdib hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib hirap sa paghinga hirap sa paghinga,"TB, PN, COVID"
sakit sa dibdib sakit sa dibdib ubo,"TB, PN, COVID"
